rank,position,name,age,games_played,plate_appearances,at_bats,runs_scored,hits,doubles_hit,triples_hit,homers,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_avg (hits/at_bats),on_base_perc (hits + walks + hit_by_pitch)/(at_bats + hits + hit_by_pitch + sacrifice_flies),SLG (total_bases/at_bats),total_bases (hits + 2*doubles_hit + 3*triples_hit + 4*homers),hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bases_on_balls
1,3B,Anthony Rendon,29,146,646,545,117,174,44,3,34,126,5,1,80,86,,,,,12,0,9,8
2,LF,Juan Soto,20,150,659,542,110,153,32,5,34,110,12,1,108,132,,,,,3,0,6,3
3,1B,Matt Adams,30,111,333,310,42,70,14,0,20,56,0,0,20,115,,,,,2,0,1,1
4,2B,Brian Dozier,32,135,482,416,54,99,20,0,20,50,3,4,61,105,,,,,4,0,1,2
5,SS,Trea Turner,26,122,569,521,96,155,37,5,19,57,35,5,43,113,,,,,3,0,2,2
6,CF,Victor Robles,22,155,617,546,86,139,33,3,17,65,28,9,35,140,,,,,25,6,5,3
7,IF,Howie Kendrick,35,121,370,334,61,115,23,1,17,62,2,1,27,49,,,,,4,0,5,1
8,C,Kurt Suzuki,35,85,309,280,37,74,11,0,17,63,0,1,20,36,,,,,6,0,3,1
9,RF,Adam Eaton,30,151,656,566,103,158,25,7,15,49,15,3,65,106,,,,,13,9,3,0
10,C,Yan Gomes,31,97,358,314,36,70,16,0,12,43,2,0,38,84,,,,,5,0,1,6
11,UT,Gerardo Parra,32,89,204,188,30,47,11,1,8,42,6,2,11,41,,,,,3,1,1,1
12,1B,Ryan Zimmerman,34,52,190,171,20,44,9,0,6,27,0,0,17,39,,,,,0,0,2,0
13,2B,Asdrubal Cabrera,33,38,146,124,24,40,10,1,6,40,0,0,19,18,,,,,0,0,3,1
14,SS,Wilmer Difo,27,43,144,131,15,33,2,0,2,8,0,1,12,29,,,,,0,1,0,3
15,SS,Carter Kieboom,21,11,43,39,4,5,0,0,2,2,0,0,4,16,,,,,0,0,0,1
16,CF,Michael A. Taylor,28,53,97,88,10,22,7,0,1,3,6,0,7,34,,,,,0,2,0,0
17,P,Stephen Strasburg,30,33,80,72,4,12,1,0,1,10,0,0,3,25,,,,,0,5,0,0
18,LF,Andrew Stevenson,25,30,37,30,4,11,1,1,0,0,0,1,6,11,,,,,1,0,0,0
19,UT,Adrian Sanchez,28,28,32,31,3,7,0,0,0,1,0,0,1,10,,,,,0,0,0,0
20,CI,Jake Noll,25,8,13,12,1,2,1,0,0,2,0,0,1,4,,,,,0,0,0,0
21,C,Raudy Read,25,6,11,11,0,1,0,0,0,0,0,0,0,5,,,,,0,0,0,0
22,C,Tres Barrera,24,2,2,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
23,P,Patrick Corbin,29,31,72,65,3,6,1,0,0,4,0,0,3,27,,,,,0,4,0,0
24,P,Max Scherzer,34,28,61,55,6,10,0,0,0,2,2,0,0,27,,,,,0,6,0,0
25,P,Anibal Sanchez,35,27,56,52,1,6,0,0,0,1,0,0,0,24,,,,,0,4,0,0
26,P,Joe Ross,26,28,20,19,1,2,0,0,0,0,0,0,1,10,,,,,0,0,0,0
27,P,Erick Fedde,26,20,20,15,1,2,0,0,0,0,0,0,0,6,,,,,0,5,0,0
28,P,Jeremy Hellickson,32,9,13,9,3,1,0,0,0,0,0,0,2,4,,,,,0,2,0,0
29,P,Austin Voth,27,7,10,9,0,1,0,0,0,1,0,0,0,3,,,,,0,1,0,0
30,P,Javy Guerra,33,33,5,3,0,0,0,0,0,0,0,0,0,2,,,,,0,2,0,0
31,P,Sean Doolittle,32,61,3,3,0,0,0,0,0,0,0,0,0,2,,,,,0,0,0,0
32,P,Kyle McGowin,27,7,3,3,1,1,0,0,0,0,0,0,0,0,,,,,0,0,0,0
33,P,Matt Grace,30,50,3,3,0,0,0,0,0,0,0,0,0,3,,,,,0,0,0,0
34,P,Tanner Rainey,26,47,1,1,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
35,P,Wander Suero,27,75,1,1,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0
36,P,Roenis Elias,30,4,1,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
37,P,Jonny Venters,34,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
38,P,Austin Adams,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
39,P,Austen Williams,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
40,P,Trevor Rosenthal,29,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
41,P,Fernando Rodney,42,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
42,P,Tony Sipp,35,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
43,P,Justin Miller,32,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
44,P,Hunter Strickland,30,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
45,P,Kyle Barraclough,29,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
46,P,Daniel Hudson,32,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
47,P,Michael Blazek,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
48,P,Dan Jennings,32,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
49,P,James Bourque,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
50,P,Aaron Barrett,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0